idx,class,conversation
0,3,"지금 너 스스로를 죽여달라고 애원하는 것인가?
 아닙니다. 죄송합니다.
 죽을 거면 혼자 죽지 우리까지 사건에 휘말리게 해? 진짜 죽여버리고 싶게.
 정말 잘못했습니다.
 너가 선택해. 너가 죽을래 네 가족을 죽여줄까.
 죄송합니다. 정말 잘못했습니다.
 너에게는 선택권이 없어. 선택 못한다면 너와 네 가족까지 모조리 죽여버릴거야.
 선택 못하겠습니다. 한번만 도와주세요.
 그냥 다 죽여버려야겠군. 이의 없지?
 제발 도와주세요."
1,3,"길동경찰서입니다.
9시 40분 마트에 폭발물을 설치할거다.
네?
똑바로 들어 한번만 더 얘기한다.
장난전화 걸지 마시죠. 
9시 40분 마트에 폭발물이 터지면 다 죽는거야. 
장난전화는 업무방해죄에 해당됩니다.
판단은 너에게 달려있다. 길동경찰서에도 폭발물 터지면 꽤나 재미있겠지.
선생님 진정하세요.
난 이야기했어. 경고했다는 말이야."
12,3,"네네 무슨 일 때문에 전화주셨나요?
우리 애가 지우개 하나 훔친거 가지고 애들 앞에서 면박줬니?
그런게 아니고 댁 내 따님분이 한 두번 훔친것도 아니고 여러번 훔친 게 확인 되어서 경찰부르는건 너무 심할거 같아서 꾸중 한 마디 한겁니다.
아니 그 구멍가게 물건이 얼마 한다고 그러냐고 내 애가 맨날 훔친거 확실해?
네 본 애들도 있고 확실합니다
됐고 내 애 울면서 하교 했어 이번 일 각오하는 게 좋을거야 너도 애 있다며?
제 애까지 끌어들이지 마세요
내 애도 울면서 들어왔는데 그냥 못 넘어가 니 애 죽여버릴거야
이러지 마세요 저도 곤란합니다. 단지 교육 차원에서 한 마디 했을 뿐이라고요
됐고 아 저기 네 애 보이네 죽여버릴테니까 니 아들 죽은거 보고 그때 반성해 남 애 함부로 울리면 어떻게 되는지"
20,3,"너가 민수라는 남자 제자니?
네 맞는데요 왜 그러시죠? 혹시 저희 선생님께 무슨 일 생겼나요?
무슨 일은 그냥 선생님 콩팥 하나 정도 가져가려고
네.? 장난치시지 마세요. 장난이 너무 심하신 거 아니신가요?
아 어린애라 그런지 상황 판단 못하네 사진 보내 줄 테니 봐봐 장난인지 아닌지
어.? 왜 그러시는 건가요 신고 할 거예요 당장 신고 할 거예요.
신고해보던지 어딘지는 알고 신고하게?
저한테 원하시는 거 있으시면 최대한 할게요 선생님 해치지 말아주세요
그럼 내가 말하는 거 가져다 주기만 해 그러면 그냥 깔끔하게 끝날 일이야
그렇게 하도록 할게요 바로 할게요"
23,3,"나좀 제발 그만 따라다녀.부탁이야
너 만나려면 널 찾아가야될거아냐
우리 헤어졌자나. 이건 스토킹이야
난 아직 안헤어졌어. 너가 일방적으로 말한거지
제발 나좀 놔주면안돼?
내가 언제괴롭혔다고그래. 다 널 사랑해서 그런거지
우리집 비밀번호를 또 어떻게 알았어
너 들어가는거 봤지. 남자친구가 그정도도 못보냐? 너네집에 다른남자 숨겨뒀나보지?
제발 그만좀해.아니라고. 너의 그 정신병적인 의심병때문에 헤어진거야
뭐? 정신병? 이년이 말다했냐? 어디 다리하나 부러뜨려놔야 바람을 못피지. 일로와"
26,3,"조용히 살라고 했는데 이새끼가깔짝깔짝건드네?
그러지마.그건 정말 너네가 잘못한거잖아
야 내가 잘못했어도 그걸 니가 뭔데 말해? 뭔데 신고하네 마네야
나쁜일이니까.
니가 경찰이야? 어? 경찰도 아닌새끼가 남의 일에 오지랖은
.그래도 그건 아니야
아 이 외골수새끼 입술 부르트도록 쳐맞아도 아직 정신 못차렸네 아 뇌는 아직 터지도록 안맞아서 그러냐?
제발. 여기서 멈춰주면 나도 조용히할게
야 니가 조용히 하는건 하나도 안중요하고 이빨 꽉 깨물어라 안그러면 이 나간다새끼야
제발 그만해."
28,3,"이리로 와 넌 토막내서 죽여줄게
살려주세요
싫어 난 너의 장난감이랑 놀 시간 보네고 싶어서 그러는거야
제발 그만
그리고 너의 몸 장난감을 아주 잘 갖고 놀아야지 이 칼로
왜 그렇게 까지.
칼로 쑤시는 맛이 있거든
살려주세요
살아있는 애는 재미 없어
야이 새끼야 경찰이다. 이런 미친 싸이코 같은 놈
그 총 쏘기만 해봐 목를 썰어 주겠어"
32,3,"자꾸 이런식으로 내 연락 무시하면 나도 가만 있지 않을거야
 어떻게 할건데?
 당장 네 집에 가서 다 말할거야
 정말 그러기야? 제발 이제 그만해
 네가 자꾸 연락 무시하고 해결책을 내놓지 않잖아
 어떻게 하길 원하는데?
 당장 집에 가서 네 와이프에게 말해
 그건 안 돼. 그럼 나 이혼당해
 그 정도도 생각 안하고 행동했니? 진짜 너 칼로 갈기갈기 찢어 죽여 버릴거야
 나도 가만 있지 않을거야. 이렇게 말이 안통하니 자꾸 연락을 차단하는거 아냐
 네가 그렇게 나오면 나도 이제 가만있지 않겠어"
41,3,"니가 내돈 훔쳤지?
아니야 내가 왜 니돈을 훔쳐
없어졌는데?? 지갑에 있던 돈이?
어디 다른데다가 흘렸겠지 나는 아니야
하 웃기고 있네 너 집이 찢어지게 가난하다며
그래서 내가 도둑을 했다는거야?
어 도둑년이 당당하게 눈치켜뜨네??
나 정말아니야
너같은 년은 손목이 분질러져야 두번 다시 도둑질 못할건데 그렇지?
나정말 아니라구!!!
큰소리내지마 짜증나니까 손목은 분질러지고 입까지 막혀야 정신차릴래?"
49,3,"야 너가 게임 팀킬장인 맞냐?
응 맞는데 뭐. 왜 불렀는데 키도 조그마해서 초등학생도 못 이길 덩치구만. 형이 햄버거 사줄테니까 기분풀고 집에 가렴.
야 클랜전이었는데 너 때문에 망한거잖아. 니 덕분에 우리 클랜 랭킹도 내려갔더라? 기분 좋냐?
야 설마 그거 때문에 그러냐? 애가 게임이랑 현실이랑 구분 못 하네. 그니까 너가 방구석 히키코모리처럼 사는거 아니냐?
그래 말 할 수 있을 때 계속 애기해봐. 말 할 수 있을 때까지
내가 너 누군지 모르지만 제발 게임이랑 현실이랑 구분 좀 해라 그러다 사람 죽이게 생겼다? 왜 랭킹 떨어졌다고 사람 죽이게?
잘아네. 내가 현질해서 거기까지 올려놨구만 너가 다 망쳤는데 책임져야지. 니가 실컷 떠든것처럼 난 게임이랑 현실 구분 못 하니까 게임처럼 죽여볼게. 진짜 바로죽나
야 왜이래. 게임 일 뿐인데 다음부터 안 그럴게. 랭킹 높여놔 줄게.
애초에 너가 그렇게 말했으면 바로 넘어갔을텐데. 왜 사람 자존감도 깍아내려가지고. 그 게임에서는 이 총 한번 헤드샷 날리면 바로 쓰러지러더라? 덕분에 실제로 그런지 테스트 해볼 수 있게 됐네 야 고맙다 고마워.
왜 이래. 총은 또 어디서 난거야.그거 빨리 내려놔. 너 그러다가 범죄자 된다니까?"
